two_theta_deg,intensity_raw,intensity_smoothed
16.835160,111.4173,63.7359
16.851906,118.5039,64.4658
16.868652,118.4055,63.7398
16.885398,113.9764,63.3466
16.902144,118.0118,62.9148
16.918891,113.9764,62.4247
16.935637,108.2677,61.2455
16.952383,117.6181,61.5850
16.969129,109.3504,60.6490
16.985875,116.3386,60.2642
17.002621,113.7795,60.1513
17.019368,113.3858,60.9130
17.036114,106.2008,61.2134
17.052860,117.4213,62.6799
17.069606,113.1890,62.8389
17.086352,120.6693,62.8586
17.103098,117.4213,63.2378
17.119844,113.7795,63.9817
17.136591,112.9921,63.3457
17.153337,111.5157,63.4420
17.170083,119.1929,63.0623
17.186829,118.4055,63.5235
17.203575,116.6339,64.1815
17.220321,114.2717,64.4295
17.237068,116.4370,64.5461
17.253814,114.6654,62.8343
17.270560,117.2244,63.3819
17.287306,116.6339,64.2019
17.304052,116.6339,66.2434
17.320798,114.1732,67.3098
17.337544,124.9016,67.0831
17.354291,120.4724,66.1098
17.371037,122.9331,65.5175
17.387783,112.8937,65.6039
17.404529,110.5315,65.3410
17.421275,117.2244,64.7135
17.438021,120.7677,65.7434
17.454768,122.8346,66.9791
17.471514,118.8976,68.7155
17.488260,121.1614,68.9722
17.505006,119.5866,67.3033
17.521752,119.5866,66.2312
17.538498,116.4370,65.1976
17.555245,116.7323,65.1598
17.571991,114.9606,64.4212
17.588737,119.2913,65.2772
17.605483,117.0276,66.4460
17.622229,120.2756,67.5277
17.638975,118.8976,68.3048
17.655721,124.7047,68.0026
17.672468,120.0787,67.6105
17.689214,117.7165,67.7172
17.705960,118.6024,66.4136
17.722706,115.7480,66.6118
17.739452,121.8504,66.3306
17.756198,119.2913,67.6583
17.772945,117.3228,68.7951
17.789691,125.5906,68.6228
17.806437,119.8819,68.5657
17.823183,122.4409,68.1245
17.839929,119.0945,68.3488
17.856675,116.1417,68.4647
17.873422,121.7520,67.8820
17.890168,122.4409,68.2557
17.906914,120.9646,68.3638
17.923660,121.5551,69.1275
17.940406,119.7835,69.6066
17.957152,119.7835,68.6159
17.973898,122.2441,68.1132
17.990645,121.2598,67.2106
18.007391,119.5866,67.5330
18.024137,116.3386,67.5881
18.040883,118.8976,67.2554
18.057629,118.4055,66.8539
18.074375,124.8031,66.3195
18.091122,116.5354,66.5403
18.107868,117.6181,66.0481
18.124614,117.8150,67.0232
18.141360,116.8307,67.2212
18.158106,122.1457,68.3387
18.174852,120.0787,69.7075
18.191598,129.4291,69.8879
18.208345,117.8150,69.5180
18.225091,124.5079,69.2117
18.241837,115.8465,68.1036
18.258583,119.2913,67.8354
18.275329,119.3898,67.3118
18.292075,122.2441,67.8833
18.308822,120.2756,68.3282
18.325568,122.2441,69.7334
18.342314,120.5709,69.1319
18.359060,119.2913,68.4776
18.375806,125.8858,69.1218
18.392552,119.3898,69.9053
18.409299,118.1102,70.0716
18.426045,123.4252,70.7032
18.442791,128.8386,69.5891
18.459537,120.5709,69.8452
18.476283,120.2756,70.3396
18.493029,121.2598,69.7938
18.509775,117.5197,69.3693
18.526522,129.5276,69.6967
18.543268,118.7008,71.5937
18.560014,122.9331,70.7120
18.576760,126.6732,70.4116
18.593506,123.5236,70.7829
18.610252,121.2598,69.9246
18.626999,114.7638,70.5780
18.643745,127.7559,71.1853
18.660491,126.0827,71.1541
18.677237,121.9488,71.2968
18.693983,123.5236,70.8856
18.710729,127.2638,70.1391
18.727476,116.5354,69.0949
18.744222,118.6024,69.5036
18.760968,120.5709,69.6644
18.777714,124.2126,69.4398
18.794460,128.0512,69.6823
18.811206,121.2598,71.6329
18.827952,120.7677,72.8158
18.844699,124.5079,73.6163
18.861445,127.2638,74.5792
18.878191,130.7087,75.0966
18.894937,130.5118,77.2034
18.911683,127.7559,77.9397
18.928429,129.0354,76.3548
18.945176,125.7874,74.0807
18.961922,130.6102,73.3616
18.978668,122.8346,73.0902
18.995414,118.8976,73.7498
19.012160,126.4764,74.4189
19.028906,134.5472,76.2983
19.045652,128.6417,78.0711
19.062399,132.4803,80.1436
19.079145,131.9882,80.4368
19.095891,134.5472,79.2933
19.112637,130.8071,78.5695
19.129383,127.0669,77.5508
19.146129,127.8543,76.9600
19.162876,130.9055,76.5470
19.179622,130.1181,77.2294
19.196368,125.9843,79.3665
19.213114,137.0079,81.2095
19.229860,132.5787,81.9834
19.246606,138.8780,82.8859
19.263353,137.0079,83.6951
19.280099,133.5630,84.2522
19.296845,133.9567,83.5091
19.313591,137.5984,84.2148
19.330337,135.3346,83.8964
19.347083,137.1063,84.0728
19.363829,136.7126,83.7608
19.380576,136.7126,82.3557
19.397322,132.9724,82.0722
19.414068,131.8898,81.6060
19.430814,131.5945,81.2600
19.447560,133.5630,81.6759
19.464306,139.8622,83.0727
19.481053,132.0866,83.7176
19.497799,137.3031,83.5609
19.514545,137.5984,83.4852
19.531291,136.8110,83.1294
19.548037,129.5276,82.0689
19.564783,134.1535,82.1972
19.581529,137.6969,83.1523
19.598276,135.8268,84.2492
19.615022,134.6457,85.8408
19.631768,141.1417,87.4314
19.648514,146.8504,88.5451
19.665260,137.6969,89.6071
19.682006,142.1260,90.7574
19.698753,143.3071,91.7031
19.715499,148.3268,93.3537
19.732245,145.8661,96.6097
19.748991,149.0157,99.8222
19.765737,155.5118,101.3926
19.782483,162.2047,103.1859
19.799230,159.8425,105.9982
19.815976,153.7402,109.6964
19.832722,162.4016,113.6311
19.849468,170.1772,118.2009
19.866214,178.9370,122.1388
19.882960,179.9213,127.7538
19.899706,185.3346,132.0848
19.916453,185.2362,132.9591
19.933199,179.7244,131.4759
19.949945,185.6299,126.5769
19.966691,175.0984,121.9839
19.983437,167.5197,116.0474
20.000183,159.0551,110.9176
20.016930,151.0827,104.8671
20.033676,157.6772,98.6991
20.050422,147.8346,94.0339
20.067168,144.9803,89.5366
20.083914,134.5472,88.1123
20.100660,137.2047,87.0563
20.117407,133.8583,85.6508
20.134153,139.2717,86.2831
20.150899,149.2126,86.7702
20.167645,138.2874,87.8554
20.184391,137.2047,87.6055
20.201137,137.4016,87.8903
20.217883,137.8937,85.5521
20.234630,139.1732,84.8645
20.251376,138.5827,86.0447
20.268122,138.3858,84.3977
20.284868,131.6929,85.2977
20.301614,142.8150,84.9949
20.318360,134.5472,84.6012
20.335107,132.0866,85.2300
20.351853,149.0157,87.0620
20.368599,132.9724,88.4271
20.385345,139.8622,87.0356
20.402091,144.3898,88.3179
20.418837,143.5039,88.8424
